Camponotus spp, Eylül, 13:00, İstanbul, , http://www.karincaciftligim.com/index.php?/topic/84-bulunma-09092015/ 
Messor spp, Ekim, 19:00, Manisa, , http://www.karincaciftligim.com/index.php?/topic/130-budami-gol-değil-be/ 
Messor spp, Ekim, 15:00, Manisa, , http://www.karincaciftligim.com/index.php?/topic/130-budami-gol-de%C4%9Fil-be/&do=findComment&comment=1480 
Tetramorium spp, Kasım, , , , http://www.karincaciftligim.com/index.php?/topic/152-cinsi-nedir/ 
Solenopsis spp, Kasım, 16:00, Denizli, , http://www.karincaciftligim.com/index.php?/topic/155-bulunma-11112015/ 
Messor spp, Şubat, , İstanbul, , http://www.karincaciftligim.com/index.php?/topic/287-kaldırımda-uçuşa-geçen-tür-d/ 
Messor spp, Mart, 15:00, Gebze/Kocaeli, , http://www.karincaciftligim.com/index.php?/topic/337-kraliçenin-türü-nedir/ 
Messor spp, Mart, , Çanakkale, , http://www.karincaciftligim.com/index.php?/topic/358-messor-mu/ 
Camponotus spp, Nisan, , Manisa, , http://www.karincaciftligim.com/index.php?/topic/379-tur-nedir/	
Messor spp, Nisan, 15:00, Denizli, , http://www.karincaciftligim.com/index.php?/topic/378-türü-nedir/
Camponotus spp, Nisan, , Balıkesir, , http://www.karincaciftligim.com/index.php?/topic/412-tür-hakkında-yardım/
Camponotus spp, Nisan, , İstanbul, , http://www.karincaciftligim.com/index.php?/topic/386-türü-nedir/
Messor spp, Nisan, , Konya, , http://www.karincaciftligim.com/index.php?/topic/466-yeni-kralıce-buldum/
Camponotus Vicinus, Mayıs, , , , http://www.karincaciftligim.com/index.php?/topic/484-hangi-tür/
Camponotus spp, Nisan, , Manisa, , http://www.karincaciftligim.com/index.php?/topic/468-türü-ne-olabilir/
Tetramorium spp, Mayıs, , , , http://www.karincaciftligim.com/index.php?/topic/566-kraliçemin-türü-nedir/
Messor spp, Mayıs, , , , http://www.karincaciftligim.com/index.php?/topic/590-acil-yardım/
Lasius Neglectus, Mayıs, , Çanakkale, , http://www.karincaciftligim.com/index.php?/topic/584-lasius-niger-mı/
Cataglyphis spp, Mayıs, 16:00, Ciğilli/İzmir, 24 derece %40 nem, http://www.karincaciftligim.com/index.php?/topic/600-kraliçe-mi-türü-nedir/
Camponotus spp, Mayıs, , İstanbul, , http://www.karincaciftligim.com/index.php?/topic/638-sizce-türü/
Tetramorium spp, Haziran, , , , http://www.karincaciftligim.com/index.php?/topic/651-kraliçe-mi/
